POLICY_ID,POLICY_IS_RENEWED,POLICY_IS_RENEWED_PROBABILITY
10,1,0.8476997017860413
12,1,0.7147964239120483
13,1,0.5980259776115417
22,1,0.613163411617279
37,1,0.852544367313385
38,1,0.5249154567718506
41,0,0.275247722864151
44,1,0.6664018034934998
45,0,0.38087350130081177
54,1,0.7695530652999878
62,0,0.1847246289253235
70,1,0.6947402954101562
71,0,0.36053913831710815
73,1,0.5846364498138428
80,1,0.5950310826301575
85,1,0.8849005103111267
87,1,0.695914089679718
94,1,0.5502378940582275
103,0,0.36070507764816284
108,1,0.7695648074150085
115,0,0.34050339460372925
116,1,0.5882314443588257
118,1,0.7814990878105164
125,1,0.6767903566360474
132,1,0.8885537981987
133,0,0.4441492259502411
134,1,0.8177955150604248
138,1,0.8825519680976868
139,1,0.7765961289405823
147,0,0.27147942781448364
150,0,0.3419873118400574
151,1,0.5473982095718384
153,1,0.7019703984260559
155,1,0.5899375081062317
159,1,0.8100608587265015
160,0,0.22060418128967285
161,0,0.48609238862991333
163,1,0.7153361439704895
164,1,0.6803181171417236
166,1,0.7379807233810425
168,1,0.8344982266426086
169,1,0.6956430673599243
172,1,0.6851860880851746
182,1,0.5689730644226074
188,1,0.8030126094818115
189,1,0.5673956871032715
190,1,0.5462209582328796
193,1,0.5115244388580322
194,1,0.7167937159538269
196,0,0.3030930459499359
215,0,0.03886035457253456
218,1,0.7705855369567871
228,1,0.6975958347320557
230,1,0.5341391563415527
236,1,0.6722763776779175
244,0,0.4013473093509674
253,1,0.7744523882865906
263,1,0.8752555251121521
265,1,0.7308464050292969
268,1,0.7494951486587524
273,0,0.44312912225723267
284,0,0.449249804019928
286,0,0.28105276823043823
305,1,0.8647822141647339
307,0,0.40929725766181946
309,1,0.7548696398735046
310,1,0.5523478388786316
313,1,0.674479067325592
318,1,0.7150018215179443
323,1,0.5436334609985352
327,1,0.7893443703651428
329,1,0.8115197420120239
341,1,0.7463879585266113
344,1,0.68089359998703
345,1,0.8852938413619995
354,0,0.2048904448747635
355,0,0.3591313064098358
357,1,0.8649975061416626
360,1,0.7388697862625122
365,1,0.7525138258934021
367,1,0.7893580794334412
369,1,0.5565663576126099
370,1,0.8949578404426575
383,1,0.8632809519767761
384,0,0.47927016019821167
388,1,0.6792095303535461
389,1,0.6800692081451416
394,1,0.5873081088066101
395,1,0.7704400420188904
416,1,0.8914182186126709
417,1,0.868665874004364
442,1,0.6191962957382202
443,1,0.7649062871932983
444,1,0.6725336313247681
445,1,0.7840427160263062
448,1,0.6892203688621521
453,1,0.8263028860092163
454,1,0.5646177530288696
455,1,0.7091935276985168
458,0,0.3147828280925751
459,1,0.8087512850761414
460,1,0.7054087519645691
465,1,0.6900052428245544
466,1,0.7076202630996704
468,0,0.4137767553329468
494,1,0.7611590027809143
498,1,0.6917746663093567
499,1,0.7879769802093506
500,0,0.4484419822692871
506,1,0.6549307703971863
507,1,0.6685501337051392
510,1,0.8198125958442688
515,0,0.4732891023159027
516,0,0.40904274582862854
520,0,0.4663615822792053
522,1,0.6189233064651489
527,0,0.04562176391482353
528,1,0.709025502204895
534,1,0.8005136251449585
538,1,0.6601136326789856
549,1,0.6181827783584595
553,0,0.4652731120586395
555,1,0.7630643844604492
561,1,0.6116108894348145
565,1,0.8620355725288391
578,1,0.6819577217102051
579,0,0.3662109673023224
582,1,0.670475423336029
584,0,0.32871490716934204
590,0,0.30416348576545715
594,1,0.6611967086791992
598,1,0.6956483721733093
611,1,0.8194105625152588
618,1,0.728705644607544
620,1,0.8060504198074341
636,1,0.6498043537139893
654,1,0.6109044551849365
655,1,0.6007454991340637
661,1,0.6537967324256897
663,0,0.31039515137672424
672,1,0.7273851633071899
676,0,0.47839048504829407
686,1,0.8084968328475952
687,1,0.8063634037971497
700,0,0.011750485748052597
701,1,0.779697597026825
703,0,0.4324186444282532
704,1,0.5851127505302429
708,0,0.012840009294450283
709,1,0.5735225677490234
711,1,0.615612804889679
734,1,0.6608948707580566
736,0,0.44694215059280396
738,1,0.6843481063842773
740,1,0.8631318807601929
743,1,0.7721360325813293
745,1,0.650810956954956
767,1,0.9090865254402161
770,0,0.42791885137557983
774,1,0.7927416563034058
781,1,0.8202497363090515
782,0,0.43760254979133606
788,0,0.37492844462394714
800,1,0.9065350890159607
804,1,0.868287205696106
809,1,0.8240037560462952
819,1,0.7416571378707886
821,1,0.6860817670822144
827,0,0.2732630670070648
829,1,0.5665683150291443
837,1,0.7434136867523193
838,1,0.5549744963645935
839,1,0.8244511485099792
846,0,0.30437755584716797
847,1,0.5640990138053894
851,1,0.7539862394332886
852,0,0.33584481477737427
874,0,0.30924898386001587
877,0,0.0912112221121788
878,0,0.010822434909641743
880,1,0.7075138688087463
882,1,0.8960646986961365
887,1,0.6441625356674194
890,1,0.7894289493560791
895,1,0.7131338119506836
904,0,0.20530323684215546
908,1,0.8360614776611328
909,1,0.8403315544128418
917,1,0.7711138129234314
920,1,0.8134443759918213
928,1,0.8602595925331116
931,1,0.7504303455352783
937,1,0.8211415410041809
938,1,0.7793262004852295
941,1,0.8090842366218567
953,1,0.6450416445732117
961,1,0.8872487545013428
962,1,0.6023786067962646
974,0,0.23681117594242096
990,1,0.5161967277526855
1000,1,0.835864782333374
1002,1,0.6688405871391296
1006,1,0.8646847009658813
1007,1,0.7059083580970764
1008,1,0.6139371991157532
1014,0,0.478946715593338
1015,0,0.0892220139503479
1017,1,0.7272839546203613
1018,1,0.5813541412353516
1019,1,0.8226884603500366
1025,0,0.4448705017566681
1032,1,0.8124929666519165
1033,1,0.7805538177490234
1037,1,0.609722375869751
1039,1,0.772381603717804
1046,1,0.7623613476753235
1049,1,0.778799831867218
1050,1,0.6513811945915222
1054,0,0.0185007955878973
1066,1,0.7130777835845947
1069,1,0.6683592796325684
1071,0,0.035709455609321594
1075,1,0.8263149261474609
1081,1,0.898703396320343
1084,1,0.5687306523323059
1087,1,0.7357597947120667
1103,1,0.6551680564880371
1120,1,0.6020965576171875
1121,1,0.5666292905807495
1122,1,0.8899796009063721
1129,0,0.4597457945346832
1130,1,0.7962295413017273
1137,0,0.12528933584690094
1138,1,0.8212817311286926
1147,1,0.7268612384796143
1154,1,0.5421169996261597
1158,1,0.7281441688537598
1159,1,0.6916764378547668
1160,1,0.6426061987876892
1164,0,0.4876682460308075
1167,1,0.7030590176582336
1170,1,0.8227826356887817
1173,1,0.7546277642250061
1179,1,0.6230364441871643
1185,0,0.4408196806907654
1187,1,0.56511390209198
1192,0,0.44788843393325806
1199,0,0.3425050973892212
1206,1,0.7390815615653992
1208,0,0.2198549062013626
1214,1,0.6274998188018799
1219,1,0.6758144497871399
1235,1,0.7532992362976074
1237,1,0.7980300784111023
1246,1,0.7331264019012451
1248,1,0.760705828666687
1256,1,0.788849413394928
1258,1,0.8187167644500732
1263,0,0.25480058789253235
1276,0,0.4663435220718384
1279,1,0.9086552262306213
1282,1,0.8667907118797302
1283,0,0.34229812026023865
1285,0,0.48136106133461
1290,1,0.7578862905502319
1301,1,0.6586053967475891
1303,1,0.8747376203536987
1305,0,0.4336951971054077
1306,0,0.03626931831240654
1307,0,0.26503562927246094
1314,1,0.9040348529815674
1320,1,0.7701941132545471
1322,1,0.9058540463447571
1331,1,0.7682166695594788
1339,1,0.892969012260437
1357,1,0.9106548428535461
1364,1,0.8154063820838928
1370,0,0.49362117052078247
1372,0,0.34380871057510376
1374,1,0.6920071244239807
1381,1,0.7219477295875549
1385,1,0.7167185544967651
1389,1,0.7058167457580566
1408,1,0.6394099593162537
1419,1,0.7189906239509583
1420,1,0.767967700958252
1422,1,0.6625809669494629
1424,1,0.8392438888549805
1425,1,0.7171714305877686
1436,0,0.24494774639606476
1441,1,0.7378449440002441
1446,1,0.8100690245628357
1447,1,0.7754648923873901
1448,1,0.7559553384780884
1451,1,0.8004915118217468
1454,0,0.2952960729598999
1458,1,0.8061808347702026
1460,1,0.6152994632720947
1462,1,0.6076388955116272
1470,1,0.6513234376907349
1480,0,0.2487838715314865
1493,0,0.21765336394309998
1495,1,0.606576144695282
1496,1,0.7746928930282593
1498,0,0.20359984040260315
1502,1,0.8016983866691589
1504,1,0.7122526168823242
1516,1,0.7412746548652649
1528,0,0.1374056041240692
1529,1,0.7966486811637878
1530,1,0.6912738084793091
1532,1,0.7785762548446655
1538,1,0.6945029497146606
1541,0,0.4505782425403595
1542,1,0.762329638004303
1544,0,0.48453012108802795
1551,1,0.6348076462745667
1553,1,0.8329143524169922
1557,0,0.32999199628829956
1559,0,0.2243296504020691
1566,1,0.6415217518806458
1582,1,0.5294526815414429
1586,1,0.5262733101844788
1588,0,0.4442790150642395
1590,1,0.6393072009086609
1600,1,0.7569651007652283
1612,1,0.6534674763679504
1617,1,0.7228588461875916
1622,1,0.5716342329978943
